Country Name,Cheltuieli_Guvernamentale_Educatie_%_PIB,Inscrieri_Invatamant_Tertiar_%_Populatie,Inscrieri_Invatamant_Secundar_%_Populatie,Cheltuieli_Curente_Pentru_Sanatate_%_PIB,Rata_Mortalitatii_Infantile_/1000,Speranta_Viata_Ani
Albania,3.44,61.96,102.44,6.46,7.6,78.36
Andorra,3.28,13.82,91.3,6.92,3.4,84.53
Argentina,5.78,83.76,107.5,10.23,10.0,76.6
Armenia,2.81,48.73,86.44,10.12,12.8,74.87
Austria,5.49,82.26,101.41,10.37,3.1,81.19
Azerbaijan,2.95,25.48,84.81,4.34,21.1,72.35
Bahrain,2.55,45.64,100.3,4.98,6.3,80.34
Bangladesh,1.87,15.57,59.42,2.27,30.0,70.54
Barbados,5.16,57.28,108.2,6.82,11.8,76.06
Belarus,4.79,93.79,102.9,6.07,3.1,73.62
Belgium,6.47,76.42,164.08,10.8,3.4,80.99
Belize,5.36,23.44,81.29,4.67,13.1,71.65
Benin,3.17,12.49,55.13,2.73,57.0,59.12
Bosnia and Herzegovina,3.02,55.53,85.72,9.24,5.9,77.07
Brazil,6.24,48.43,100.92,8.91,13.7,75.11
Burkina Faso,3.67,4.9,32.89,5.13,56.3,58.78
Burundi,6.37,5.26,43.94,6.29,41.8,60.11
Cabo Verde,4.81,22.52,96.6,4.4,17.6,74.1
Cameroon,2.66,17.3,60.5,4.13,53.2,59.69
Canada,4.74,67.27,111.74,10.77,4.7,81.83
Chad,2.34,3.23,22.25,3.42,72.8,51.32
Chile,4.9,86.42,100.92,8.35,6.8,80.01
Colombia,4.47,54.8,97.67,7.52,14.0,76.07
Costa Rica,6.87,51.28,115.72,7.59,7.8,80.41
Cote d'Ivoire,3.49,8.46,43.99,3.22,59.0,58.28
Cuba,8.96,36.75,96.09,12.81,4.8,77.74
Cyprus,6.3,60.1,99.78,6.79,2.4,81.46
Czechia,5.72,67.23,104.81,7.34,2.6,78.58
Dominican Republic,3.6,51.75,79.94,4.72,31.2,72.98
Ecuador,5.11,44.54,100.79,7.77,12.9,76.22
El Salvador,3.91,27.39,70.73,8.76,12.5,70.95
Estonia,5.05,74.58,108.19,6.64,2.5,77.59
Fiji,4.81,68.42,87.84,3.32,16.3,66.48
Finland,7.07,89.66,150.82,9.65,2.0,81.48
Georgia,3.11,51.91,106.76,7.29,8.9,73.24
Germany,4.76,68.23,102.19,11.19,3.3,80.64
Ghana,4.43,15.56,67.05,4.54,37.7,63.18
Grenada,4.24,96.79,105.4,4.65,15.8,75.04
Guatemala,3.03,21.96,54.89,6.01,23.3,70.92
Honduras,6.41,20.32,50.35,7.48,17.2,71.32
Hungary,4.5,50.07,104.55,6.85,4.2,75.57
Iceland,7.46,75.64,119.81,8.13,2.0,82.47
India,4.11,27.06,74.61,3.6,36.6,69.33
Indonesia,3.58,32.46,87.84,2.92,22.3,69.52
"Iran, Islamic Rep.",2.63,70.69,82.73,7.53,13.9,75.91
Ireland,3.62,77.23,116.99,7.32,3.2,81.45
Israel,5.81,60.82,96.34,7.02,3.1,82.05
Italy,4.05,60.94,101.23,8.86,3.0,82.54
Jamaica,5.46,26.23,85.35,5.62,17.6,72.21
Japan,3.31,62.47,102.2,10.75,2.0,83.79
Kazakhstan,2.79,48.35,98.21,3.04,9.5,72.02
Kenya,4.74,9.25,72.58,4.76,39.1,62.28
"Korea, Rep.",4.45,93.97,98.59,6.72,2.9,82.02
Kyrgyz Republic,5.99,46.55,88.96,7.15,19.4,70.65
Lao PDR,2.74,18.16,62.3,2.45,47.1,66.69
Latvia,5.47,74.3,112.36,5.65,4.3,74.48
Lesotho,7.64,9.73,59.4,9.3,69.3,51.83
Lithuania,4.22,67.74,102.15,6.49,4.1,74.32
Luxembourg,3.77,20.29,104.38,5.08,2.2,82.29
Madagascar,2.21,4.66,36.12,5.01,43.8,63.36
Malawi,3.85,0.81,39.73,6.63,39.3,62.32
Malaysia,4.89,44.29,81.51,3.82,6.6,75.29
Mali,3.8,5.13,38.99,4.11,69.4,57.85
Malta,4.91,46.95,95.16,8.9,5.8,81.9
Mauritania,2.83,5.88,31.2,3.67,38.5,66.5
Mauritius,4.76,37.76,93.97,5.55,13.0,74.35
Mexico,5.05,31.97,100.98,5.53,13.9,74.43
Moldova,5.77,52.1,105.07,8.56,14.2,70.12
Mozambique,5.92,6.73,34.53,6.61,53.8,58.71
Namibia,9.85,19.66,78.26,9.98,47.5,60.01
Nepal,3.26,12.28,68.61,5.47,32.6,67.37
Netherlands,5.28,80.16,114.14,10.32,3.5,81.51
New Zealand,5.71,82.18,114.89,9.28,4.7,81.61
Niger,4.49,3.24,19.69,5.35,69.3,58.85
Norway,7.52,79.21,115.21,10.07,2.2,82.3
Pakistan,2.39,8.44,34.67,2.49,64.1,65.64
Panama,3.27,47.58,76.59,6.94,13.6,77.58
Philippines,2.83,35.87,82.01,3.9,22.2,69.45
Poland,4.79,69.37,109.41,6.4,4.2,77.45
Portugal,4.89,61.8,116.8,9.32,2.9,81.12
Romania,3.11,49.36,91.34,4.94,7.7,74.91
Russian Federation,3.83,84.24,96.33,5.3,6.6,71.18
Rwanda,3.65,7.53,39.41,6.65,33.7,65.42
Sao Tome and Principe,4.7,12.82,82.4,6.53,15.1,66.02
Senegal,5.46,10.84,50.54,4.38,37.3,66.45
Seychelles,4.91,16.5,92.09,4.31,13.2,74.3
Slovak Republic,4.56,52.72,91.9,6.76,5.1,76.56
Slovenia,4.96,82.2,109.66,8.5,2.1,80.78
South Africa,5.48,19.03,104.62,8.05,29.7,64.05
Spain,4.25,88.57,124.85,9.12,2.7,82.83
Sri Lanka,2.11,18.17,94.45,3.68,7.4,75.99
St. Kitts and Nevis,2.55,93.92,115.49,5.13,16.9,71.21
St. Lucia,3.88,17.03,90.95,4.51,15.6,72.93
St. Vincent and the Grenadines,4.96,23.62,114.02,4.11,15.4,70.46
Sweden,7.49,66.43,137.46,10.8,2.3,82.2
Switzerland,5.0,60.82,103.91,11.0,3.7,82.9
Tanzania,4.19,3.98,26.09,3.65,41.1,63.93
Thailand,3.86,45.71,124.33,3.85,10.3,76.56
Tunisia,6.22,33.37,85.78,6.21,16.0,74.88
Turkiye,4.31,95.56,107.24,4.12,11.0,76.54
Ukraine,5.34,76.86,90.5,7.78,9.2,72.69
United Kingdom,5.55,56.49,125.98,9.84,3.9,80.96
United States,4.93,88.89,97.65,16.48,5.8,78.69
Uruguay,4.21,57.79,108.04,8.26,7.5,77.28
Uzbekistan,5.49,8.05,92.24,4.74,18.6,71.33
Viet Nam,3.42,29.73,89.45,4.71,15.6,73.96
West Bank and Gaza,4.66,46.09,88.39,9.28,15.8,74.58
